Anbieter;Anbietertyp;Hersteller;Modell;Speicher GB;Farbe;Zustand;Preis EUR;Preisart;Tarifreferenz;Verfuegbarkeit;Quelle;Abgerufen am;Listungs-ID;SKU-ID
Vodafone;netzbetreiber;Apple;iPhone Air;1024;Himmelblau;neu;1319,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-1024gb-himmelblau;apple-iphone-air-1024gb-himmelblau
Vodafone;netzbetreiber;Apple;iPhone Air;1024;Lichtgold;neu;1319,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-1024gb-lichtgold;apple-iphone-air-1024gb-lichtgold
Vodafone;netzbetreiber;Apple;iPhone Air;1024;Space Schwarz;neu;1319,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-1024gb-space-schwarz;apple-iphone-air-1024gb-space-schwarz
Vodafone;netzbetreiber;Fairphone;Fairphone 6;256;Horizon Black;neu;549,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/fairphone-6.html;2026-08-29;vodafone--fairphone-6-256gb-horizon-black;fairphone-6-256gb-horizon-black
Vodafone;netzbetreiber;Google;Pixel 10;128;schwarz;neu;899,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10.html;2026-08-29;vodafone--google-pixel-10-128gb-schwarz;google-pixel-10-128gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 10 Pro;128;schwarz;neu;1099,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10-pro.html;2026-08-29;vodafone--google-pixel-10-pro-128gb-schwarz;google-pixel-10-pro-128gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 10 Pro XL;256;schwarz;neu;1299,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10-pro-xl.html;2026-08-29;vodafone--google-pixel-10-pro-xl-256gb-schwarz;google-pixel-10-pro-xl-256gb-schwarz
Vodafone;netzbetreiber;Google;Pixel 10a;128;Berry;neu;549,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10a.html;2026-08-29;vodafone--google-pixel-10a-128gb-berry;google-pixel-10a-128gb-berry
Vodafone;netzbetreiber;Google;Pixel 10a;128;Fog;neu;549,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10a.html;2026-08-29;vodafone--google-pixel-10a-128gb-fog;google-pixel-10a-128gb-fog
Vodafone;netzbetreiber;Google;Pixel 10a;128;schwarz;neu;549,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/google-pixel-10a.html;2026-08-29;vodafone--google-pixel-10a-128gb-schwarz;google-pixel-10a-128gb-schwarz
