Art;Modell;Hersteller;Speicher GB;Anbieter;Tarif;Tarifband;Status;Abweichung %;Wettbewerber-Preis EUR;Vodafone-Preis EUR;Preisart;Grund;Abgerufen am;Quelle
Preis-Alarm;iPhone 17 Pro;Apple;512;Saturn;;;Gering;2,1;1419,00;1449,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.saturn.de/de/product/_apple-iphone-17-pro-5g-512-gb-cosmic-orange-dual-sim-3013589.html
Preis-Alarm;iPhone 16 Plus;Apple;128;Saturn;;;Gering;2,1;929,99;949,90;Gerätepreis ohne Vertrag;;2026-09-20;https://www.saturn.de/de/product/_apple-iphone-16-plus-5g-128-gb-weiss-dual-sim-2954293.html
Preis-Alarm;Fairphone 6;Fairphone;256;ALDI TALK;;;Gering;2,0;539,00;549,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.alditalk.de/p/fairphone-fairphone-gen-6-256-gb-forest-green-model-fp6-30042279A1?FF_QUERY=*%3Acategory_id%3BG5DE0Z0SIKUBHRGTNF411A7XPLN9RV3D&FF_POS=19&FF_PAGE=1&FF_PAGESIZE=30&FF_SCORE=100.0&FF_CAMPAIGN=&FF_CAMPAIGN_PAGE_ID=
Preis-Alarm;Redmi Note 17;Xiaomi;128;congstar;;;Gering;2,0;343,00;349,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/xiaomi/xiaomi-redmi-note-17-5g/
Preis-Alarm;iPhone 17 Pro Max;Apple;512;Saturn;;;Gering;1,9;1569,00;1599,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.saturn.de/de/product/_apple-iphone-17-pro-max-5g-512-gb-silber-dual-sim-3013597.html
Preis-Alarm;iPhone 17 Pro;Apple;256;Saturn;;;Gering;1,7;1179,00;1199,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.saturn.de/de/product/_apple-iphone-17-pro-5g-256-gb-cosmic-orange-dual-sim-3013586.html
Preis-Alarm;iPhone 17;Apple;256;congstar;;;Gering;1,7;1081,00;1099,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/apple/apple-iphone-17/
Preis-Alarm;iPhone Air;Apple;512;congstar;;;Gering;1,6;1053,00;1069,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/apple/apple-iphone-air/
Preis-Alarm;Pixel 11 Pro Fold;Google;256;o2;;;Gering;0,9;1981,00;1999,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.o2online.de/e-shop/google/google-pixel-11-pro-fold-256gb-olive-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Preis-Alarm;Pixel 11 Pro;Google;256;congstar;;;Gering;0,9;1189,00;1199,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/google/google-pixel-11-pro/
Preis-Alarm;Galaxy S26 FE;Samsung;128;congstar;;;Gering;0,9;793,00;799,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/samsung/samsung-galaxy-s26-fe/
Preis-Alarm;Galaxy S26 FE;Samsung;256;congstar;;;Gering;0,8;893,00;899,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/samsung/samsung-galaxy-s26-fe/
Preis-Alarm;Galaxy Z Fold8;Samsung;256;congstar;;;Gering;0,3;1993,00;1999,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/samsung/samsung-galaxy-z-fold8/
Preis-Alarm;iPhone 18 Pro;Apple;1024;congstar;;;Gering;0,3;2193,00;2199,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/apple/apple-iphone-18-pro/
Preis-Alarm;iPhone 18 Pro;Apple;512;congstar;;;Gering;0,3;1695,00;1699,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/apple/apple-iphone-18-pro/
Preis-Alarm;Galaxy Z Flip8;Samsung;256;Telekom;;;Gering;0,2;1297,00;1299,90;Gerätepreis ohne Vertrag;;2026-09-15;https://www.telekom.de/shop/geraet/samsung/samsung-galaxy-z-flip8/pink-256-gb?hardwareOnlySale=true&categoryId=smartphones&forwardTradeInApplied=false
Preis-Alarm;Pixel 11 Pro XL;Google;256;congstar;;;Gering;0,2;1397,00;1399,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/google/google-pixel-11-pro-xl/
Preis-Alarm;iPhone 17 Pro Max;Apple;256;Telekom;;;Gering;0,2;1347,40;1349,90;Gerätepreis ohne Vertrag;;2026-09-09;https://www.telekom.de/shop/geraet/apple/apple-iphone-17-pro-max/silber-256-gb?hardwareOnlySale=true&categoryId=smartphones
Preis-Alarm;Galaxy Z Fold8;Samsung;512;congstar;;;Gering;0,1;2197,00;2199,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/samsung/samsung-galaxy-z-fold8/
Preis-Alarm;Galaxy Z Fold8 Ultra;Samsung;256;congstar;;;Gering;0,1;2197,00;2199,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/samsung/samsung-galaxy-z-fold8-ultra/
Preis-Alarm;Galaxy Z Fold8 Ultra;Samsung;512;congstar;;;Gering;0,1;2397,00;2399,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/samsung/samsung-galaxy-z-fold8-ultra/
Preis-Alarm;Galaxy Z Flip8;Samsung;512;congstar;;;Gering;0,1;1499,00;1499,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/samsung/samsung-galaxy-z-flip8/
Preis-Alarm;Pixel 11;Google;512;congstar;;;Gering;0,1;1129,00;1129,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/google/google-pixel-11/
Preis-Alarm;Pixel 11 Pro;Google;512;congstar;;;Gering;0,1;1329,00;1329,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/google/google-pixel-11-pro/
Preis-Alarm;Pixel 11 Pro XL;Google;512;congstar;;;Gering;0,1;1529,00;1529,90;Gerätepreis ohne Vertrag;;2026-09-21;https://www.congstar.de/geraete/google/google-pixel-11-pro-xl/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy A37 128 GB;Samsung;128;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-50,4;796,75;1607,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/samsung/samsung-galaxy-a37-128gb-awesome-charcoal-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy A37 128 GB;Samsung;128;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy A37 128 GB;Samsung;128;1&1;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei 1&1 kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Apple iPhone 16e 128 GB;Apple;128;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-47,1;1012,75;1913,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/apple/apple-iphone-16e-128gb-weiss-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Apple iPhone 16e 128 GB;Apple;128;1&1;1&1 All-Net-Flat S;Klein;vergleichbar;-9,4;1299,54;1433,80;Kosten über 24 Monate;;2026-09-21;https://mobile.1und1.de/iphone-16e
Netzbetreiber Kosten über 24 Monate;Apple iPhone 16e 128 GB;Apple;128;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Xiaomi 17 512 GB;Xiaomi;512;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-46,0;1198,75;2219,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/xiaomi/xiaomi-17-512gb-schwarz-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Xiaomi 17 512 GB;Xiaomi;512;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Xiaomi 17 512 GB;Xiaomi;512;1&1;1&1 All-Net-Flat S;Klein;band_mismatch;;1687,54;;Kosten über 24 Monate;Kein Tarifband, in dem beide dieses Gerät führen (Vodafone: Mittel, 1&1: Klein) – nicht vergleichbar (Tarifband-Mismatch).;2026-09-21;https://mobile.1und1.de/xiaomi-17
Netzbetreiber Kosten über 24 Monate;Xiaomi 17T 256 GB;Xiaomi;256;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-38,2;1000,75;1619,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/xiaomi/xiaomi-17t-256gb-schwarz-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Xiaomi 17T 256 GB;Xiaomi;256;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Xiaomi 17T 256 GB;Xiaomi;256;1&1;1&1 All-Net-Flat S;Klein;band_mismatch;;1207,54;;Kosten über 24 Monate;Kein Tarifband, in dem beide dieses Gerät führen (Vodafone: Mittel, 1&1: Klein) – nicht vergleichbar (Tarifband-Mismatch).;2026-09-21;https://mobile.1und1.de/xiaomi-17t
Netzbetreiber Kosten über 24 Monate;Fairphone 6 256 GB;Fairphone;256;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-38,1;958,75;1547,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/fairphone/fairphone-6-256gb-schwarz-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Fairphone 6 256 GB;Fairphone;256;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Fairphone 6 256 GB;Fairphone;256;1&1;1&1 All-Net-Flat S;Klein;band_mismatch;;1355,54;;Kosten über 24 Monate;Kein Tarifband, in dem beide dieses Gerät führen (Vodafone: Mittel, 1&1: Klein) – nicht vergleichbar (Tarifband-Mismatch).;2026-09-21;https://mobile.1und1.de/fairphone-6
Netzbetreiber Kosten über 24 Monate;Google Pixel 10a 128 GB;Google;128;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-37,0;940,75;1493,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/google/google-pixel-10a-128gb-lavender-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Google Pixel 10a 128 GB;Google;128;1&1;1&1 All-Net-Flat S;Klein;vergleichbar;-11,0;1115,54;1253,80;Kosten über 24 Monate;;2026-09-21;https://mobile.1und1.de/google-pixel-10a
Netzbetreiber Kosten über 24 Monate;Google Pixel 10a 128 GB;Google;128;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 256 GB;Samsung;256;congstar;Allnet Flat S;Mittel;vergleichbar;-35,8;1399,00;2177,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-s/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 256 GB;Samsung;256;congstar;Allnet Flat XS;Klein;vergleichbar;-26,6;1423,00;1937,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-xs/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 256 GB;Samsung;256;congstar;Allnet Flat S Flex;Mittel;vergleichbar;-25,8;1615,00;2177,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-s/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 256 GB;Samsung;256;congstar;Allnet Flat XS Flex;Klein;vergleichbar;-22,9;1495,00;1937,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-xs/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 256 GB;Samsung;256;1&1;1&1 All-Net-Flat S;Klein;vergleichbar;-0,5;1927,54;1937,80;Kosten über 24 Monate;;2026-09-21;https://mobile.1und1.de/samsung-galaxy-s26-ultra
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 256 GB;Samsung;256;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 256 GB;Samsung;256;o2;O2 Mobile Unlimited M Plus mit 100 MBit/s (24 Mon.);nicht bestimmbar;band_mismatch;;1758,76;;Kosten über 24 Monate;Kein Tarifband, in dem beide dieses Gerät führen (Vodafone: Klein, o2: nicht bestimmbar) – nicht vergleichbar (Tarifband-Mismatch).;2026-09-21;https://www.o2online.de/e-shop/samsung/samsung-galaxy-s26-ultra-256gb-cobalt-violet-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-unlimited-m-plus
Netzbetreiber Kosten über 24 Monate;Apple iPhone 16 128 GB;Apple;128;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-34,3;1300,75;1979,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/apple/apple-iphone-16-128gb-schwarz-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Apple iPhone 16 128 GB;Apple;128;1&1;1&1 All-Net-Flat S;Klein;vergleichbar;-3,0;1687,54;1739,80;Kosten über 24 Monate;;2026-09-21;https://mobile.1und1.de/iphone-16
Netzbetreiber Kosten über 24 Monate;Apple iPhone 16 128 GB;Apple;128;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Apple iPhone 16 128 GB;Apple;128;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;nicht_vergleichbar;;1096,75;1979,80;Kosten über 24 Monate;o2 führt für dieses Gerät nur ein erneuert Gerät – kein Vergleich gegen ein Neugerät.;2026-09-21;https://www.o2online.de/e-shop/apple/apple-iphone-16-128gb-blau-erneuert-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Xiaomi Redmi Note 17 Pro 256 GB;Xiaomi;256;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-33,9;868,75;1313,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/xiaomi/xiaomi-redmi-note-17-pro-256gb-blue-5g-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Xiaomi Redmi Note 17 Pro 256 GB;Xiaomi;256;1&1;1&1 All-Net-Flat S;Klein;vergleichbar;-18,5;875,54;1073,80;Kosten über 24 Monate;;2026-09-21;https://mobile.1und1.de/xiaomi-redmi-note-17-pro-5g
Netzbetreiber Kosten über 24 Monate;Xiaomi Redmi Note 17 Pro 256 GB;Xiaomi;256;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Apple iPhone Air 256 GB;Apple;256;o2;O2 Mobile on Demand M Plus mit 50 GB+ (24 Mon.);Mittel;vergleichbar;-32,2;1390,75;2051,80;Kosten über 24 Monate;;2026-09-21;https://www.o2online.de/e-shop/apple/apple-iphone-air-256gb-himmelblau-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Netzbetreiber Kosten über 24 Monate;Apple iPhone Air 256 GB;Apple;256;1&1;1&1 All-Net-Flat S;Klein;vergleichbar;-6,9;1687,54;1811,80;Kosten über 24 Monate;;2026-09-21;https://mobile.1und1.de/iphone-air
Netzbetreiber Kosten über 24 Monate;Apple iPhone Air 256 GB;Apple;256;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 512 GB;Samsung;512;congstar;Allnet Flat S;Mittel;vergleichbar;-31,5;1615,00;2357,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-s/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 512 GB;Samsung;512;congstar;Allnet Flat XS;Klein;vergleichbar;-22,6;1639,00;2117,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-xs/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 512 GB;Samsung;512;congstar;Allnet Flat S Flex;Mittel;vergleichbar;-22,3;1831,00;2357,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-s/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 512 GB;Samsung;512;congstar;Allnet Flat XS Flex;Klein;vergleichbar;-19,2;1711,00;2117,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-xs/
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 512 GB;Samsung;512;1&1;1&1 All-Net-Flat S;Klein;vergleichbar;4,5;2213,54;2117,80;Kosten über 24 Monate;;2026-09-21;https://mobile.1und1.de/samsung-galaxy-s26-ultra
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 512 GB;Samsung;512;Telekom;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei Telekom kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Samsung Galaxy S26 Ultra 512 GB;Samsung;512;o2;;;kein_buendel;;;;Kosten über 24 Monate;Für dieses Modell ist bei o2 kein Bündel erhoben.;;
Netzbetreiber Kosten über 24 Monate;Apple iPhone 17 Pro 256 GB;Apple;256;congstar;Allnet Flat S;Mittel;vergleichbar;-31,4;1507,00;2195,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-s/
Netzbetreiber Kosten über 24 Monate;Apple iPhone 17 Pro 256 GB;Apple;256;congstar;Allnet Flat XS;Klein;vergleichbar;-25,4;1459,00;1955,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-xs/
Netzbetreiber Kosten über 24 Monate;Apple iPhone 17 Pro 256 GB;Apple;256;congstar;Allnet Flat S Flex;Mittel;vergleichbar;-22,4;1705,00;2195,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-s/
Netzbetreiber Kosten über 24 Monate;Apple iPhone 17 Pro 256 GB;Apple;256;congstar;Allnet Flat XS Flex;Klein;vergleichbar;-19,0;1585,00;1955,80;Kosten über 24 Monate;;2026-09-21;https://www.congstar.de/handytarife/allnet-flat-tarife/allnet-flat-xs/
